station,station_naam,valid_time,hi_p10,hi_p50,hi_p90,n_runs,temp_c,rh,run,risico,risico_key,bias_corrected
zanderij,Zanderij (JAP),2026-07-22 00:00:00+00:00,24.918716128455298,25.028174112108047,25.23104489686757,4.0,24.311090087890648,83.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-22 03:00:00+00:00,23.50023522779679,23.90741442150542,24.37161027993099,4.0,23.002801513671898,91.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-22 06:00:00+00:00,22.611739323086233,22.85909591250952,23.448216324700272,4.0,22.370385742187523,92.5999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-22 09:00:00+00:00,21.338073910183404,21.858234238094777,22.147004564497237,4.0,21.452020263671898,97.20000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-22 12:00:00+00:00,26.00910905838015,26.359663810730012,27.562092935070012,4.0,25.428521728515648,71.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-22 15:00:00+00:00,31.054989210143393,31.3968904652487,32.15129329229453,4.0,31.468011474609398,36.0,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-22 18:00:00+00:00,32.54887266233778,32.98095013668371,33.10551847537129,4.0,32.91860351562502,33.400001525878906,2026-07-18 06:00:00+00:00,Let op,let_op,False
zanderij,Zanderij (JAP),2026-07-22 21:00:00+00:00,30.34358425169026,30.69371231781894,30.85175820088952,4.0,28.215051269531273,66.5999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-23 00:00:00+00:00,22.934376100752118,23.839274501800567,24.050281646728546,4.0,23.354882812500023,90.70000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-23 03:00:00+00:00,22.450863323211692,23.27028670840796,23.3521646652222,4.0,22.518304443359398,96.9000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zanderij,Zanderij (JAP),2026-07-23 06:00:00+00:00,22.222958675808403,22.80449175940623,22.88459065458513,4.0,22.054559326171898,99.0,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-18 06:00:00+00:00,23.896431251525915,24.058507219950386,24.182857767740906,4.0,23.253381347656273,98.4000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-18 09:00:00+00:00,23.222192078484458,23.303935633765356,23.40925736406117,4.0,22.548181152343773,99.4000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-18 12:00:00+00:00,28.982421444118305,29.08040211995265,29.314565575126128,4.0,26.908349609375023,75.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-18 15:00:00+00:00,33.990429900601214,34.12421924606188,34.280389076936174,4.0,31.972894287109398,50.10000228881836,2026-07-18 06:00:00+00:00,Let op,let_op,False
zorg_en_hoop,Zorg en Hoop,2026-07-18 18:00:00+00:00,27.717501909391252,29.999057856940816,30.404911084225404,4.0,27.011590576171898,78.4000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-18 21:00:00+00:00,26.24116788058814,26.55308597776627,29.496631074811425,4.0,25.603875732421898,83.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-19 00:00:00+00:00,24.83611797502308,24.893107170528868,25.139403594546877,4.0,24.139703369140648,87.5999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-19 03:00:00+00:00,23.873614076826335,24.3256685998705,24.872062694973444,4.0,23.232049560546898,92.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-19 06:00:00+00:00,23.54770181655886,23.877681431240532,24.23951197221546,4.0,23.250024414062523,93.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-19 09:00:00+00:00,23.07770209842261,23.323886725107855,23.415432627783904,4.0,22.361810302734398,99.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-19 12:00:00+00:00,26.069871385624005,28.598485546488497,28.81187635641096,4.0,26.667718505859398,76.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-19 15:00:00+00:00,32.9357651848833,33.23838575948611,34.211214060822634,4.0,31.862054443359398,44.900001525878906,2026-07-18 06:00:00+00:00,Let op,let_op,False
zorg_en_hoop,Zorg en Hoop,2026-07-19 18:00:00+00:00,34.12471833434816,34.5708870574795,34.881579424841966,4.0,33.87368164062502,35.0,2026-07-18 06:00:00+00:00,Let op,let_op,False
zorg_en_hoop,Zorg en Hoop,2026-07-19 21:00:00+00:00,30.388604379274565,30.59782467902582,30.74883439701494,4.0,27.861840820312523,72.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-20 00:00:00+00:00,24.678916336483464,25.46084646013052,25.848865428924594,4.0,24.667779541015648,87.20000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
zorg_en_hoop,Zorg en Hoop,2026-07-20 03:00:00+00:00,24.135796416812504,24.948809710608614,25.41378815841677,4.0,24.254693603515648,86.70000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
